context,question,answer
"Cấm huy động vốn

1. Cấm huy động vốn được áp dụng khi xét thấy nếu để pháp nhân thương mại bị kết án huy động vốn thì có nguy cơ tiếp tục phạm tội.

2. Các hình thức cấm huy động vốn bao gồm:

a) Cấm vay vốn ngân hàng, tổ chức tín dụng hoặc các quỹ đầu tư;

b) Cấm phát hành, chào bán chứng khoán;

c) Cấm huy động vốn khách hàng;

d) Cấm liên doanh, liên kết trong và ngoài nước;

đ) Cấm hình thành quỹ tín thác bất động sản.

3. Tòa án quyết định áp dụng một hoặc một số hình thức cấm huy động vốn quy định tại khoản 2 Điều này.

4. Thời hạn cấm huy động vốn là từ 01 năm đến 03 năm, kể từ ngày bản án có hiệu lực pháp luật.",Cấm huy động vốn được áp dụng khi nào?,xét thấy nếu để pháp nhân thương mại bị kết án huy động vốn thì có nguy cơ tiếp tục phạm tội
"Cấm huy động vốn

1. Cấm huy động vốn được áp dụng khi xét thấy nếu để pháp nhân thương mại bị kết án huy động vốn thì có nguy cơ tiếp tục phạm tội.

2. Các hình thức cấm huy động vốn bao gồm:

a) Cấm vay vốn ngân hàng, tổ chức tín dụng hoặc các quỹ đầu tư;

b) Cấm phát hành, chào bán chứng khoán;

c) Cấm huy động vốn khách hàng;

d) Cấm liên doanh, liên kết trong và ngoài nước;

đ) Cấm hình thành quỹ tín thác bất động sản.

3. Tòa án quyết định áp dụng một hoặc một số hình thức cấm huy động vốn quy định tại khoản 2 Điều này.

4. Thời hạn cấm huy động vốn là từ 01 năm đến 03 năm, kể từ ngày bản án có hiệu lực pháp luật.",Thời hạn cấm huy động vốn là bao lâu?,từ 01 năm đến 03 năm
"Giáo dục tại trường giáo dưỡng

1. Tòa án có thể áp dụng biện pháp giáo dục tại trường giáo dưỡng từ 01 năm đến 02 năm đối với người dưới 18 tuổi phạm tội, nếu thấy do tính chất nghiêm trọng của hành vi phạm tội, do nhân thân và môi trường sống của người đó mà cần đưa người đó vào một tổ chức giáo dục có kỷ luật chặt chẽ.

2. Người được giáo dục tại trường giáo dưỡng phải chấp hành đầy đủ những nghĩa vụ về học tập, học nghề, lao động, sinh hoạt dưới sự quản lý, giáo dục của nhà trường.",Tòa án có thể áp dụng biện pháp giáo dục tại trường giáo dưỡng từ bao nhiêu đến bao nhiêu năm đối với người dưới 18 tuổi phạm tội?,từ 01 năm đến 02 năm
"Phạt tiền

Phạt tiền được áp dụng là hình phạt chính đối với người từ đủ 16 tuổi đến dưới 18 tuổi, nếu người đó có thu nhập hoặc có tài sản riêng.

Mức tiền phạt đối với người từ đủ 16 tuổi đến dưới 18 tuổi phạm tội không quá một phần hai mức tiền phạt mà điều luật quy định.",Mức tiền phạt đối với người từ đủ 16 tuổi đến dưới 18 tuổi phạm tội không quá bao nhiêu phần của mức tiền phạt mà điều luật quy định?,một phần hai
"Cải tạo không giam giữ

1. Hình phạt cải tạo không giam giữ được áp dụng đối với người từ đủ 16 đến dưới 18 tuổi phạm tội ít nghiêm trọng, phạm tội nghiêm trọng hoặc phạm tội rất nghiêm trọng do vô ý hoặc người từ đủ 14 tuổi đến dưới 16 tuổi phạm tội rất nghiêm trọng do cố ý.

2. Khi áp dụng hình phạt cải tạo không giam giữ đối với người dưới 18 tuổi phạm tội, thì không khấu trừ thu nhập của người đó.

Thời hạn cải tạo không giam giữ đối với người dưới 18 tuổi phạm tội không quá một phần hai thời hạn mà điều luật quy định.",Hình phạt cải tạo không giam giữ được áp dụng đối với người từ đủ 14 tuổi đến dưới 16 tuổi phạm tội mức độ nào?,rất nghiêm trọng
"Tội giết người trong trạng thái tinh thần bị kích động mạnh

1. Người nào giết người trong trạng thái tinh thần bị kích động mạnh do hành vi trái pháp luật nghiêm trọng của nạn nhân đối với người đó hoặc đối với người thân thích của người đó, thì bị phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội đối với 02 người trở lên, thì bị phạt tù từ 03 năm đến 07 năm.","Người giết người trong trạng thái tinh thần bị kích động mạnh do hành vi trái pháp luật nghiêm trọng của nạn nhân đối với người đó, thì bị phạt tù từ bao lâu đến bao lâu?",từ 06 tháng đến 03 năm
"Tội vô ý làm chết người

1. Người nào vô ý làm chết người, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm.

2. Phạm tội làm chết 02 người trở lên, thì bị phạt tù từ 03 năm đến 10 năm.","Người vô ý làm chết người, thì bị phạt cải tạo không giam giữ đến bao lâu?",03 năm
"Tội vô ý làm chết người

1. Người nào vô ý làm chết người, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm.

2. Phạm tội làm chết 02 người trở lên, thì bị phạt tù từ 03 năm đến 10 năm.","Người phạm tội vô ý làm chết 02 người trở lên, thì bị phạt tù từ bao nhiêu đến bao nhiêu năm?",từ 03 năm đến 10 năm
"Tội bức tử

1. Người nào đối xử tàn ác, thường xuyên ức hiếp, ngược đãi hoặc làm nhục người lệ thuộc mình làm người đó tự sát, thì bị phạt tù từ 02 năm đến 07 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 05 năm đến 12 năm:

a) Đối với 02 người trở lên;

b) Đối với người dưới 16 tuổi, phụ nữ mà biết là có thai.",Người phạm tội bức tử đối với mấy người trở lên thì bị phạt tù từ 05 năm đến 12 năm?,02 người trở lên
"Tội đánh tráo người dưới 01 tuổi

1. Người nào đánh tráo người dưới 01 tuổi này với người dưới 01 tuổi khác, thì bị phạt tù từ 02 năm đến 05 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm:

a) Có tổ chức;

b) Lợi dụng chức vụ, quyền hạn, nghề nghiệp;

c) Đối với người dưới 01 tuổi mà mình có trách nhiệm chăm sóc, nuôi dưỡng;

d) Phạm tội 02 lần trở lên.

3. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 07 năm đến 12 năm:

a) Có tính chất chuyên nghiệp;

b) Tái phạm nguy hiểm.

4. Người phạm tội còn có thể bị phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Đánh tráo người dưới 01 tuổi mà mình có trách nhiệm chăm sóc, nuôi dưỡng thì bị phạt tù tối thiểu bao nhiêu năm?",03 năm
"Tội chiếm giữ trái phép tài sản

1. Người nào cố tình không trả lại cho chủ sở hữu, người quản lý hợp pháp hoặc không giao nộp cho cơ quan có trách nhiệm tài sản trị giá từ 10.000.000 đồng đến dưới 200.000.000 đồng, di vật, cổ vật hoặc vật có giá trị lịch sử, văn hóa bị giao nhầm hoặc do mình tìm được, bắt được, sau khi chủ sở hữu, người quản lý hợp pháp hoặc cơ quan có trách nhiệm yêu cầu được nhận lại tài sản đó theo quy định của pháp luật, thì bị phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội chiếm giữ tài sản trị giá 200.000.000 đồng trở lên hoặc bảo vật quốc gia, thì bị phạt tù từ 01 năm đến 05 năm.",Tội chiếm giữ bảo vật quốc gia thì bị phạt tù tối thiểu bao nhiêu năm?,01 năm
"Tội vô ý gây thiệt hại nghiêm trọng đến tài sản

1. Người nào vô ý gây thiệt hại cho tài sản của người khác trị giá từ 100.000.000 đồng đến dưới 500.000.000 đồng, thì bị phạt cảnh cáo hoặc phạt cải tạo không giam giữ đến 02 năm.

2. Phạm tội gây thiệt hại cho tài sản của người khác trị giá 500.000.000 đồng trở lên, thì bị phạt tù từ 03 tháng đến 02 năm.",Tội vô ý gây thiệt hại tài sản của người khác trị giá đến dưới bao nhiêu thì bị phạt cảnh cáo?,dưới 500.000.000 đồng
"Tội loạn luân

Người nào giao cấu với người mà biết rõ người đó cùng dòng máu về trực hệ, là anh chị em cùng cha mẹ, anh chị em cùng cha khác mẹ hoặc cùng mẹ khác cha, thì bị phạt tù từ 01 năm đến 05 năm.",Người phạm tội loạn luân thì bị phạt tù từ bao nhiêu năm?,01 năm
"Tội tổ chức mang thai hộ vì mục đích thương mại

1. Người nào tổ chức mang thai hộ vì mục đích thương mại, thì bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm:

a) Đối với 02 người trở lên;

b) Phạm tội 02 lần trở lên;

c) Lợi dụng danh nghĩa của cơ quan, tổ chức;

d) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 10.000.000 đồng đến 50.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Người phạm tội mang thai hộ vì mục đích thương mại mà tái phạm nguy hiểm, thì bị phạt tù từ bao nhiêu năm?",01 năm
"Tội quảng cáo gian dối

1. Người nào quảng cáo gian dối về hàng hóa, dịch vụ, đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng hoặc phạt cải tạo không giam giữ đến 03 năm.

2. Người phạm tội còn có thể bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Người quảng cáo gian dối về hàng hóa, đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì có thể bị phạt cải tạo không giam giữ đến bao lâu?",03 năm
"Tội cho vay lãi nặng trong giao dịch dân sự

1. Người nào trong giao dịch dân sự mà cho vay với lãi suất gấp 05 lần mức lãi suất cao nhất quy định trong Bộ luật dân sự, thu lợi bất chính từ 30.000.000 đồng đến dưới 100.000.000 đồng hoặc đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm, thì bị phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt cải tạo không giam giữ đến 03 năm.

2. Phạm tội thu lợi bất chính từ 100.000.000 đồng trở lên, thì bị phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm.

3. Người phạm tội còn có thể bị phạt tiền từ 30.000.000 đồng đến 100.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Theo Bộ luật Hình sự 2017, người phạm tội cho vay lãi nặng trong giao dịch dân sự mà thu lợi bất chính bao nhiêu tiền trở lên thì có thể bị phạt tù từ 06 tháng đến 03 năm?",100.000.000 đồng trở lên
"Tội cố ý làm trái quy định về phân phối tiền, hàng cứu trợ

1. Người nào lợi dụng chức vụ, quyền hạn cố ý làm trái những quy định về phân phối tiền, hàng cứu trợ gây thiệt hại hoặc thất thoát tiền, hàng cứu trợ từ 100.000.000 đồng đến dưới 300.000.000 đồng, thì bị phạt cảnh cáo, phạt tiền từ 50.000.000 đồng đến 200.000.000 đồng hoặc phạt cải tạo không giam giữ đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm:

a) Có tổ chức;

b) Phạm tội 02 lần trở lên;

c) Gây thiệt hại hoặc thất thoát tiền, hàng cứu trợ 300.000.000 đồng trở lên;

d) Gây ảnh hưởng xấu về an ninh, trật tự, an toàn xã hội.

3. Người phạm tội còn có thể bị cấm đảm nhiệm chức vụ nhất định từ 01 năm đến 05 năm.","Người gây thiệt hại hoặc thất thoát tiền, hàng cứu trợ có giá trị bao nhiêu trở lên thì bị phạt tiền từ 200.000.000 đồng đến 1.000.000.000 đồng hoặc phạt tù từ 01 năm đến 05 năm?",300.000.000 đồng trở lên
"Tội vi phạm quy định về trực ban, trực chiến, trực chỉ huy

1. Người nào không chấp hành nghiêm chỉnh chế độ trực ban, trực chiến, trực chỉ huy gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 05 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 10 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong khi thực hiện nhiệm vụ cứu hộ, cứu nạn;

d) Trong tình trạng khẩn cấp;

đ) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.","Không chấp hành nghiêm chỉnh chế độ trực ban, trực chiến, trực chỉ huy gây hậu quả nghiêm trọng có thể bị phạt tù tối đa bao nhiêu năm?",10 năm
"Tội làm lính đánh thuê

Người nào làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, thì bị phạt tù từ 05 năm đến 15 năm.

Phần thứ ba

ĐIỀU KHOẢN THI HÀNH","Làm lính đánh thuê nhằm chống một quốc gia hoặc một vùng lãnh thổ độc lập, có chủ quyền, thì bị phạt tù tối thiểu bao nhiêu năm?",05 năm
"Tội làm mất tài liệu bí mật công tác quân sự

1. Người nào làm mất tài liệu bí mật công tác quân sự, nếu không thuộc một trong các trường hợp quy định tại Điều 338 và Điều 362 của Bộ luật này, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm:

a) Là chỉ huy hoặc sỹ quan;

b) Trong khu vực có chiến sự;

c) Trong chiến đấu;

d) Gây hậu quả nghiêm trọng, rất nghiêm trọng hoặc đặc biệt nghiêm trọng.",Chỉ huy hoặc sĩ quan làm mất tài liệu bí mật công tác quân sự thì bị hình phạt nào?,phạt tù từ 01 năm đến 05 năm
"Tội làm mất tài liệu bí mật công tác quân sự

1. Người nào làm mất tài liệu bí mật công tác quân sự, nếu không thuộc một trong các trường hợp quy định tại Điều 338 và Điều 362 của Bộ luật này, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm:

a) Là chỉ huy hoặc sỹ quan;

b) Trong khu vực có chiến sự;

c) Trong chiến đấu;

d) Gây hậu quả nghiêm trọng, rất nghiêm trọng hoặc đặc biệt nghiêm trọng.",Làm mất tài liệu bí mật công tác quân sự trong khu vực có chiến sự thì bị hình phạt nào?,phạt tù từ 01 năm đến 05 năm
"Tội làm mất tài liệu bí mật công tác quân sự

1. Người nào làm mất tài liệu bí mật công tác quân sự, nếu không thuộc một trong các trường hợp quy định tại Điều 338 và Điều 362 của Bộ luật này, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm:

a) Là chỉ huy hoặc sỹ quan;

b) Trong khu vực có chiến sự;

c) Trong chiến đấu;

d) Gây hậu quả nghiêm trọng, rất nghiêm trọng hoặc đặc biệt nghiêm trọng.",Làm mất tài liệu bí mật công tác quân sự trong khu vực có chiến sự thì bị phạt tù tối đa bao nhiêu năm?,05 năm
"Tội báo cáo sai

1. Người nào cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong tình trạng khẩn cấp;

d) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.","Trong tình trạng khẩn cấp, cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng thì bị phạt như thế nào?",phạt tù từ 02 năm đến 07 năm
"Tội báo cáo sai

1. Người nào cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong tình trạng khẩn cấp;

d) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.","Trong khu vực có chiến sự, nếu cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng thì bị phạt như thế nào?",phạt tù từ 02 năm đến 07 năm
"Tội báo cáo sai

1. Người nào cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong tình trạng khẩn cấp;

d) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.",Cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng trong trường hợp chiến đấu thì bị phạt tù tối thiểu bao nhiêu năm?,02 năm
"Tội báo cáo sai

1. Người nào cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 02 năm đến 07 năm:

a) Trong chiến đấu;

b) Trong khu vực có chiến sự;

c) Trong tình trạng khẩn cấp;

d) Gây hậu quả rất nghiêm trọng hoặc đặc biệt nghiêm trọng.",Cố ý báo cáo sai trong hoạt động quân sự gây hậu quả nghiêm trọng trong trường hợp chiến đấu thì bị phạt tù tối đa bao nhiêu năm?,07 năm
"Tội trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy

1. Người nào trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 06 tháng đến 03 năm:

a) Đã được giáo dục 02 lần và đã được tạo điều kiện ổn định cuộc sống;

b) Đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm;

c) Với số lượng từ 500 cây đến dưới 3.000 cây.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm:

a) Có tổ chức;

b) Với số lượng 3.000 cây trở lên;

c) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng.

4. Người nào phạm tội thuộc khoản 1 Điều này, nhưng đã tự nguyện phá bỏ, giao nộp cho cơ quan chức năng có thẩm quyền trước khi thu hoạch, thì có thể được miễn trách nhiệm hình sự.","Trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy do Chính phủ quy định với số lượng bao nhiêu thì có thể bị phạt tù đến 07 năm?",3.000 cây trở lên
"Tội trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy

1. Người nào trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 06 tháng đến 03 năm:

a) Đã được giáo dục 02 lần và đã được tạo điều kiện ổn định cuộc sống;

b) Đã bị xử phạt vi phạm hành chính về hành vi này hoặc đã bị kết án về tội này, chưa được xóa án tích mà còn vi phạm;

c) Với số lượng từ 500 cây đến dưới 3.000 cây.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 03 năm đến 07 năm:

a) Có tổ chức;

b) Với số lượng 3.000 cây trở lên;

c) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 5.000.000 đồng đến 50.000.000 đồng.

4. Người nào phạm tội thuộc khoản 1 Điều này, nhưng đã tự nguyện phá bỏ, giao nộp cho cơ quan chức năng có thẩm quyền trước khi thu hoạch, thì có thể được miễn trách nhiệm hình sự.","Trồng cây thuốc phiện, cây côca, cây cần sa hoặc các loại cây khác có chứa chất ma túy do Chính phủ quy định với số lượng bao nhiêu thì có thể bị phạt tù tối đa 03 năm?",từ 500 cây đến dưới 3.000 cây
"Tội làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán

1. Người nào làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán thu lợi bất chính từ 1.000.000.000 đồng đến dưới 2.000.000.000 đồng hoặc gây thiệt hại cho nhà đầu tư từ 1.500.000.000 đồng đến dưới 3.000.000.000 đồng, thì bị phạt tiền từ 500.000.000 đồng đến 2.000.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 2.000.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 02 năm đến 07 năm:

a) Thu lợi bất chính 2.000.000.000 đồng trở lên;

b) Gây thiệt hại cho nhà đầu tư 3.000.000.000 đồng trở lên;

c) Có tổ chức;

d) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 50.000.000 đồng đến 250.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Người đã từng làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán thu lợi bất chính, nếu tái phạm nguy hiểm thì bị phạt như thế nào?",phạt tiền từ 2.000.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 02 năm đến 07 năm
"Tội làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán

1. Người nào làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán thu lợi bất chính từ 1.000.000.000 đồng đến dưới 2.000.000.000 đồng hoặc gây thiệt hại cho nhà đầu tư từ 1.500.000.000 đồng đến dưới 3.000.000.000 đồng, thì bị phạt tiền từ 500.000.000 đồng đến 2.000.000.000 đồng hoặc phạt tù từ 06 tháng đến 03 năm.

2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tiền từ 2.000.000.000 đồng đến 5.000.000.000 đồng hoặc phạt tù từ 02 năm đến 07 năm:

a) Thu lợi bất chính 2.000.000.000 đồng trở lên;

b) Gây thiệt hại cho nhà đầu tư 3.000.000.000 đồng trở lên;

c) Có tổ chức;

d) Tái phạm nguy hiểm.

3. Người phạm tội còn có thể bị phạt tiền từ 50.000.000 đồng đến 250.000.000 đồng, cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định từ 01 năm đến 05 năm.","Làm giả tài liệu trong hồ sơ chào bán, niêm yết chứng khoán thu lợi bất chính từ bao nhiêu trở lên thì bị phạt tù từ 02 năm đến 07 năm?",2.000.000.000 đồng trở lên
"Tội làm, tàng trữ, vận chuyển, lưu hành tiền giả

1. Người nào làm, tàng trữ, vận chuyển, lưu hành tiền giả, thì bị phạt tù từ 03 năm đến 07 năm.

2. Phạm tội trong trường hợp tiền giả có trị giá tương ứng từ 5.000.000 đồng đến dưới 50.000.000 đồng, thì bị phạt tù từ 05 năm đến 12 năm.

3. Phạm tội trong trường hợp tiền giả có trị giá tương ứng từ 50.000.000 đồng trở lên, thì bị phạt tù từ 10 năm đến 20 năm hoặc tù chung thân.

4. Người chuẩn bị phạm tội này, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 03 năm.

5. Người phạm tội còn có thể bị phạt tiền từ 10.000.000 đồng đến 100.000.000 đồng hoặc tịch thu một phần hoặc toàn bộ tài sản.","Người nào làm, tàng trữ, vận chuyển, lưu hành tiền giả, thì bị phạt tù tối thiểu bao nhiêu năm?",03 năm
"Tội gián điệp

1. Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:

a) Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam;

b) Gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại;

c) Cung cấp hoặc thu thập nhằm cung cấp bí mật Nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước Cộng hòa xã hội chủ nghĩa Việt Nam.

2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.

3. Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.

4. Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm hình sự về tội này.","Hành vi hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam có hình phạt cao nhất là gì?",tử hình
"Tội gián điệp

1. Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình:

a) Hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam;

b) Gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại;

c) Cung cấp hoặc thu thập nhằm cung cấp bí mật Nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước Cộng hòa xã hội chủ nghĩa Việt Nam.

2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.

3. Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.

4. Người đã nhận làm gián điệp, nhưng không thực hiện nhiệm vụ được giao và tự thú, thành khẩn khai báo với cơ quan nhà nước có thẩm quyền, thì được miễn trách nhiệm hình sự về tội này.","Hành vi hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước Cộng hòa xã hội chủ nghĩa Việt Nam bị phạt tối thiểu bao nhiêu năm tù?",12 năm
